"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"06-Dec-2019","    31797.15","    31883.70","    31250.65","    31341.55","      485386658","         8458.57"
"09-Dec-2019","    31321.40","    31537.65","    31122.05","    31316.65","      494482008","         7409.06"
"10-Dec-2019","    31386.40","    31412.80","    31126.00","    31160.35","      505390598","         6959.37"
"11-Dec-2019","    31151.65","    31337.85","    30996.40","    31256.75","      815353303","         8323.63"
"12-Dec-2019","    31356.80","    31711.45","    31352.10","    31665.45","      529686754","         6543.15"
"13-Dec-2019","    31775.55","    32105.05","    31770.50","    32014.25","      390513196","         7416.72"
"16-Dec-2019","    32159.00","    32186.95","    31897.75","    31974.20","      306021290","         5773.52"
"17-Dec-2019","    32082.40","    32213.35","    31987.35","    32140.25","      259934353","         5360.57"
"18-Dec-2019","    32292.25","    32293.65","    32017.30","    32244.25","      258844226","         5720.31"
"19-Dec-2019","    32281.65","    32328.35","    32085.05","    32241.45","      436934080","         6160.59"
"20-Dec-2019","    32266.85","    32443.35","    32199.45","    32384.95","      535239232","         8520.45"
"23-Dec-2019","    32381.00","    32502.80","    32196.85","    32339.45","      391458232","         5677.31"
"24-Dec-2019","    32337.80","    32390.35","    32246.05","    32280.75","      330830416","         4598.44"
"26-Dec-2019","    32276.15","    32314.60","    31963.25","    31997.70","      339790478","         5214.14"
"27-Dec-2019","    32142.50","    32444.85","    32056.25","    32412.35","      332429461","         5364.91"
"30-Dec-2019","    32486.60","    32613.10","    32248.50","    32354.90","      274051378","         5034.21"
"31-Dec-2019","    32345.95","    32345.95","    32108.75","    32161.65","      251409106","         4779.55"
"01-Jan-2020","    32237.90","    32348.00","    32057.20","    32102.90","      184671555","         3183.97"
"02-Jan-2020","    32133.15","    32465.45","    32121.40","    32443.85","      253558509","         4310.34"
"03-Jan-2020","    32326.95","    32329.80","    31960.40","    32069.25","      217584385","         4537.65"
"06-Jan-2020","    31910.45","    31914.45","    31170.55","    31237.15","      256236748","         5048.53"
"07-Jan-2020","    31598.05","    31851.45","    31200.90","    31399.40","      294368120","         6636.37"
"08-Jan-2020","    30995.50","    31451.85","    30899.55","    31373.65","      304484779","         6150.28"
"09-Jan-2020","    31748.25","    32172.70","    31667.15","    32092.40","      307977487","         6013.85"
"10-Jan-2020","    32215.70","    32347.20","    31953.40","    32097.40","      444709730","         6362.46"
"13-Jan-2020","    32139.10","    32322.65","    32074.05","    32177.65","      291441682","         4403.11"
"14-Jan-2020","    32196.45","    32196.45","    31989.20","    32071.65","      438912100","         7185.00"
"15-Jan-2020","    31994.75","    32000.90","    31670.35","    31824.90","      545708720","         7722.68"
"16-Jan-2020","    31810.55","    31988.90","    31692.40","    31853.90","      253715802","         5618.01"
"17-Jan-2020","    31571.65","    31773.55","    31445.50","    31590.65","      308136774","         7404.95"
"20-Jan-2020","    31923.95","    31923.95","    31050.95","    31080.65","      282225576","         7796.06"
"21-Jan-2020","    30978.85","    31171.25","    30858.60","    30947.55","      227481016","         6114.46"
"22-Jan-2020","    31061.60","    31149.05","    30614.00","    30701.45","      200582131","         6087.35"
"23-Jan-2020","    30742.20","    31087.25","    30621.35","    31004.05","      343817897","         7242.49"
"24-Jan-2020","    31040.10","    31375.45","    30879.05","    31241.75","      424623379","         6538.81"
"27-Jan-2020","    31110.55","    31227.05","    30808.55","    30837.40","      309934514","         7207.69"
"28-Jan-2020","    30922.00","    31048.45","    30656.35","    30761.40","      239604935","         5707.39"
"29-Jan-2020","    30915.10","    31082.85","    30835.80","    30877.00","      268788386","         5105.28"
"30-Jan-2020","    30889.25","    30909.50","    30521.30","    30647.40","      328858847","         5410.61"
"31-Jan-2020","    30950.50","    31033.45","    30691.80","    30833.60","      333435455","         8892.15"
"01-Feb-2020","    30726.20","    30918.60","    29753.00","    29820.90","      255295791","         5451.95"
"03-Feb-2020","    29811.75","    30105.80","    29612.55","    30023.25","      337112135","         7123.19"
"04-Feb-2020","    30235.30","    30776.95","    30182.45","    30686.70","      336610481","         6719.43"
